Date,^GSPC,NFLX,NVDA,FB,GOOGL
2015-11-01,2080.409912,123.330002,31.122013,104.239998,762.849976
2015-12-01,2043.939941,114.379997,32.46143,104.660004,778.01001
2016-01-01,1940.23999,91.839996,28.846947,112.209999,761.349976
2016-02-01,1932.22998,93.410004,30.885633,106.919998,717.219971
2016-03-01,2059.73999,102.230003,35.218887,114.099998,762.900024
2016-04-01,2065.300049,90.029999,35.120049,117.580002,707.880005
2016-05-01,2096.949951,102.57,46.180931,118.809998,748.849976
2016-06-01,2098.860107,91.480003,46.588249,114.279999,703.530029
2016-07-01,2173.600098,91.25,56.58773,123.940002,791.340027
2016-08-01,2170.949951,97.449997,60.789692,126.120003,789.849976
2016-09-01,2168.27002,98.550003,68.030411,128.270004,804.059998
2016-10-01,2126.149902,124.870003,70.651543,130.990005,809.900024
2016-11-01,2198.810059,117,91.541214,118.419998,775.880005
2016-12-01,2238.830078,123.800003,106.135986,115.050003,809.450012
2017-01-01,2278.870117,140.710007,108.562187,130.320007,820.190002
2017-02-01,2363.639893,142.130005,100.905754,135.539993,844.929993
2017-03-01,2362.719971,147.809998,108.450294,142.050003,847.799988
2017-04-01,2384.199951,152.199997,103.840683,150.25,924.52002
2017-05-01,2411.800049,163.070007,143.714294,151.460007,987.090027
2017-06-01,2423.409912,149.410004,144.074966,150.979996,929.679993
2017-07-01,2470.300049,181.660004,161.964737,169.25,945.5
2017-08-01,2471.649902,174.710007,168.871475,171.970001,955.23999
2017-09-01,2519.360107,181.350006,178.327042,170.869995,973.719971
2017-10-01,2575.26001,196.429993,206.297562,180.059998,1033.040039
2017-11-01,2584.840088,195.509995,211.085678,177.179993,1036.170044
2017-12-01,2673.610107,191.960007,193.154648,176.460007,1053.400024
2018-01-01,2823.810059,270.299988,245.361298,186.889999,1182.219971
2018-02-01,2713.830078,291.380005,241.568085,178.320007,1103.920044
2018-03-01,2640.870117,295.350006,231.320343,159.789993,1037.140015
2018-04-01,2648.050049,312.459991,224.638123,172,1018.580017
2018-05-01,2705.27002,351.600006,251.896347,191.779999,1100
2018-06-01,2718.370117,391.429993,236.770477,194.320007,1129.189941
2018-07-01,2816.290039,337.450012,244.726135,172.580002,1227.219971
2018-08-01,2901.52002,367.679993,280.52655,175.729996,1231.800049
2018-09-01,2913.97998,374.130005,281.019989,164.460007,1207.079956
2018-10-01,2711.73999,301.779999,210.830002,151.789993,1090.579956
2018-11-01,2690.72998,270.600006,144.699997,131.550003,1027.420044
